id_band,score,name,has_transitions,albumCount,review_count
11143,0.5,Cuntscrape,True,1.0,1
14768,0.77,Psychiatric Regurgitation,True,1.0,1
16693,0.8600000000000001,Four Question Marks,True,2.0,1
16950,0.7833333333333333,Acranius,True,1.0,1
20572,0.5499999999999999,Emergency Gate,True,3.0,1
22101,0.8,Human Butchery,True,1.0,1
26007,0.7250000000000001,Scartown,True,2.0,1
26375,0.87,Silence Lies Fear,True,1.0,1
28506,0.75,Divine:Zero,True,1.0,1
28548,0.7016666666666667,Torn the Fuck Apart,True,2.0,1
29579,0.97,Burn in Silence,True,1.0,1
30086,1.0,Dark Reality,True,1.0,1
30164,0.8875,Dead Horse,True,2.0,1
31103,0.94,Feretrum,True,1.0,1
32647,0.835,Morgoth,True,4.0,1
32781,0.7,Nail Within,True,1.0,1
33138,0.7737513596486373,Opeth,True,12.0,1
33879,0.84,Seeds in Barren Fields,True,1.0,1
34933,0.6499999999999999,Turbocharged,True,1.0,1
35469,0.8539999999999999,Cemetary,True,5.0,1
35473,0.7830347222222223,Sentenced,True,8.0,1
35477,1.0,Monsterworks,True,1.0,1
35699,0.95,Black Queen,True,1.0,1
35714,0.76,Criminal,True,1.0,1
35719,0.8883333333333333,Dawn,True,2.0,1
35728,0.93,Deteriorate,True,1.0,1
35746,0.2866666666666667,Enochian,True,3.0,1
35760,0.79,Funeral Oration,True,1.0,1
35764,0.7791666666666666,Hacavitz,True,2.0,1
35803,0.94,Momentum,True,1.0,1
35807,0.735,Murder Therapy,True,1.0,1
35812,0.74,Necrodead,True,1.0,1
35813,0.75,Necromorph,True,1.0,1
35817,0.75,Neldöreth,True,1.0,1
35823,0.8187916666666667,Nocturnal Rites,True,8.0,1
35826,0.9411666666666667,Obtained Enslavement,True,4.0,1
35828,0.7775000000000001,Odes of Ecstasy,True,2.0,1
35831,0.72,Orbeth,True,1.0,1
35853,0.56,Sarcophagus,True,2.0,1
35865,0.725,Son of Aurelius,True,1.0,1
35877,0.7,Tenebris,True,1.0,1
35904,0.6803333333333333,Amoral,True,6.0,1
35907,0.8126904761904761,Extol,True,5.0,1
35918,0.8825000000000001,Abaddon Incarnate,True,2.0,1
35968,0.85,Anomalia,True,1.0,1
35980,0.85,Arkhamin Kirjasto,True,1.0,1
35992,0.935,Ash & Elm,True,2.0,1
36015,0.6499999999999999,Beithíoch,True,2.0,1
36023,0.9,Beyond Dawn,True,1.0,1
36214,0.815,Disgrace,True,2.0,1
36362,0.82,Gods of Eden,True,1.0,1
36526,0.7255555555555556,Living Sacrifice,True,6.0,1
36616,0.7627777777777777,Neoandertals,True,3.0,1
36688,0.66,Perverse Imagery,True,1.0,1
36727,0.7,Rainroom,True,1.0,1
36783,0.9,Sardonic Wrath,True,1.0,1
36825,0.8046165739022882,Shadows Fall,True,7.0,1
36961,0.785,Thou Shalt Suffer,True,1.0,1
36991,0.93,Ultra Vomit,True,1.0,1
37081,0.65,郁,True,1.0,1
37092,0.6660185185185186,Atrocity,True,9.0,1
37093,0.7355738304093568,Cradle of Filth,True,12.0,1
37094,0.7778823847302325,Darkthrone,True,17.0,1
37105,0.7424999999999999,Abruptum,True,4.0,1
37107,0.8282074314574315,Absu,True,6.0,1
37111,0.9,Acrimony,True,1.0,1
37112,0.6,Acrybia,True,1.0,1
37115,0.3,Advent Sorrow,True,1.0,1
37117,0.885,Afflicted,True,2.0,1
37119,0.8883333333333333,Allegiance,True,3.0,1
